timestamp,sensor_id,latitude,longitude,sensor_type,radiation_level,quality_flag,status
2023-12-31T23:00:00Z,001,49.54744418130489,-1.8423994190897792,beta,0.0954,normal,operational
2023-12-31T23:00:00Z,002,49.54811226239893,-1.840870942864567,alpha,0.0603,normal,operational
2023-12-31T23:00:00Z,003,49.528584186043595,-1.8753005055338143,beta,0.1204,normal,operational
2023-12-31T23:00:00Z,004,49.54491342878202,-1.8610001167375594,gamma,0.1324,normal,operational
2023-12-31T23:00:00Z,005,49.53925236556679,-1.8575866901502014,beta,0.1064,normal,operational
2023-12-31T23:00:00Z,006,49.53557287847391,-1.8438387445081026,beta,0.1192,normal,operational
2023-12-31T23:00:00Z,007,49.542097649439235,-1.8744515932910144,alpha,0.0777,normal,operational
2023-12-31T23:00:00Z,008,49.524039997917136,-1.8404443308431655,alpha,0.0499,low,operational
2023-12-31T23:00:00Z,009,49.53970976871205,-1.8421332706976683,beta,0.111,normal,operational
2023-12-31T23:00:00Z,010,49.54115194352111,-1.8767024976760147,beta,0.1101,normal,operational
2023-12-31T23:00:00Z,011,49.533732253287454,-1.85943152862601,beta,0.1163,normal,operational
2023-12-31T23:00:00Z,012,49.541573367549574,-1.8643918613158166,beta,0.0919,normal,operational
2023-12-31T23:00:00Z,013,49.548040167414584,-1.8437704747635872,gamma,0.1375,normal,operational
2023-12-31T23:00:00Z,014,49.52766286473023,-1.8621212148759514,gamma,0.0796,normal,operational
2023-12-31T23:00:00Z,015,49.53386878467631,-1.8465598296001553,beta,0.1217,normal,operational
2024-01-01T00:00:00Z,001,49.54744418130489,-1.8423994190897792,beta,0.1079,normal,operational
2024-01-01T00:00:00Z,002,49.54811226239893,-1.840870942864567,alpha,0.0635,normal,operational
2024-01-01T00:00:00Z,003,49.528584186043595,-1.8753005055338143,beta,0.0874,normal,operational
2024-01-01T00:00:00Z,004,49.54491342878202,-1.8610001167375594,gamma,0.1669,normal,operational
2024-01-01T00:00:00Z,005,49.53925236556679,-1.8575866901502014,beta,0.1129,normal,operational
2024-01-01T00:00:00Z,006,49.53557287847391,-1.8438387445081026,beta,0.1083,normal,operational
2024-01-01T00:00:00Z,007,49.542097649439235,-1.8744515932910144,alpha,0.0641,normal,operational
2024-01-01T00:00:00Z,008,49.524039997917136,-1.8404443308431655,alpha,0.0768,normal,operational
2024-01-01T00:00:00Z,009,49.53970976871205,-1.8421332706976683,beta,0.092,normal,operational
2024-01-01T00:00:00Z,010,49.54115194352111,-1.8767024976760147,beta,0.1052,normal,operational
2024-01-01T00:00:00Z,011,49.533732253287454,-1.85943152862601,beta,0.1099,normal,operational
2024-01-01T00:00:00Z,012,49.541573367549574,-1.8643918613158166,beta,0.1156,normal,operational
2024-01-01T00:00:00Z,013,49.548040167414584,-1.8437704747635872,gamma,0.1575,normal,operational
2024-01-01T00:00:00Z,014,49.52766286473023,-1.8621212148759514,gamma,0.1063,normal,operational
2024-01-01T00:00:00Z,015,49.53386878467631,-1.8465598296001553,beta,0.1007,normal,operational
2024-01-01T01:00:00Z,001,49.54744418130489,-1.8423994190897792,beta,0.1414,normal,operational
2024-01-01T01:00:00Z,002,49.54811226239893,-1.840870942864567,alpha,0.0896,normal,operational
2024-01-01T01:00:00Z,003,49.528584186043595,-1.8753005055338143,beta,0.1159,normal,operational
2024-01-01T01:00:00Z,004,49.54491342878202,-1.8610001167375594,gamma,0.1289,normal,operational
2024-01-01T01:00:00Z,005,49.53925236556679,-1.8575866901502014,beta,0.1299,normal,operational
2024-01-01T01:00:00Z,006,49.53557287847391,-1.8438387445081026,beta,0.1113,normal,operational
2024-01-01T01:00:00Z,007,49.542097649439235,-1.8744515932910144,alpha,0.0823,normal,operational
2024-01-01T01:00:00Z,008,49.524039997917136,-1.8404443308431655,alpha,0.0682,normal,operational
2024-01-01T01:00:00Z,009,49.53970976871205,-1.8421332706976683,beta,0.134,normal,operational
2024-01-01T01:00:00Z,010,49.54115194352111,-1.8767024976760147,beta,0.1079,normal,operational
2024-01-01T01:00:00Z,011,49.533732253287454,-1.85943152862601,beta,0.1064,normal,operational
2024-01-01T01:00:00Z,012,49.541573367549574,-1.8643918613158166,beta,0.1073,normal,operational
2024-01-01T01:00:00Z,013,49.548040167414584,-1.8437704747635872,gamma,0.142,normal,operational
2024-01-01T01:00:00Z,014,49.52766286473023,-1.8621212148759514,gamma,0.1663,normal,operational
2024-01-01T01:00:00Z,015,49.53386878467631,-1.8465598296001553,beta,0.1055,normal,operational
2024-01-01T02:00:00Z,001,49.54744418130489,-1.8423994190897792,beta,0.1386,normal,operational
2024-01-01T02:00:00Z,002,49.54811226239893,-1.840870942864567,alpha,0.0798,normal,operational
2024-01-01T02:00:00Z,003,49.528584186043595,-1.8753005055338143,beta,0.1197,normal,operational
2024-01-01T02:00:00Z,004,49.54491342878202,-1.8610001167375594,gamma,0.1668,normal,operational
2024-01-01T02:00:00Z,005,49.53925236556679,-1.8575866901502014,beta,0.0945,normal,operational
2024-01-01T02:00:00Z,006,49.53557287847391,-1.8438387445081026,beta,0.0793,normal,operational
2024-01-01T02:00:00Z,007,49.542097649439235,-1.8744515932910144,alpha,0.0857,normal,operational
2024-01-01T02:00:00Z,008,49.524039997917136,-1.8404443308431655,alpha,0.0538,normal,operational
2024-01-01T02:00:00Z,009,49.53970976871205,-1.8421332706976683,beta,0.0796,normal,operational
2024-01-01T02:00:00Z,010,49.54115194352111,-1.8767024976760147,beta,0.1177,normal,operational
2024-01-01T02:00:00Z,011,49.533732253287454,-1.85943152862601,beta,0.1325,normal,operational
2024-01-01T02:00:00Z,012,49.541573367549574,-1.8643918613158166,beta,0.1373,normal,operational
2024-01-01T02:00:00Z,013,49.548040167414584,-1.8437704747635872,gamma,0.1187,normal,operational
2024-01-01T02:00:00Z,014,49.52766286473023,-1.8621212148759514,gamma,0.1816,normal,operational
2024-01-01T02:00:00Z,015,49.53386878467631,-1.8465598296001553,beta,0.1013,normal,operational
2024-01-01T03:00:00Z,001,49.54744418130489,-1.8423994190897792,beta,0.1247,normal,operational
2024-01-01T03:00:00Z,002,49.54811226239893,-1.840870942864567,alpha,0.0787,normal,operational
2024-01-01T03:00:00Z,003,49.528584186043595,-1.8753005055338143,beta,0.1012,normal,operational
2024-01-01T03:00:00Z,004,49.54491342878202,-1.8610001167375594,gamma,0.1508,normal,operational
2024-01-01T03:00:00Z,005,49.53925236556679,-1.8575866901502014,beta,0.1102,normal,operational
2024-01-01T03:00:00Z,006,49.53557287847391,-1.8438387445081026,beta,0.1088,normal,operational
2024-01-01T03:00:00Z,007,49.542097649439235,-1.8744515932910144,alpha,0.0732,normal,operational
2024-01-01T03:00:00Z,008,49.524039997917136,-1.8404443308431655,alpha,0.0968,normal,operational
2024-01-01T03:00:00Z,009,49.53970976871205,-1.8421332706976683,beta,0.1184,normal,operational
2024-01-01T03:00:00Z,010,49.54115194352111,-1.8767024976760147,beta,0.1614,normal,operational
2024-01-01T03:00:00Z,011,49.533732253287454,-1.85943152862601,beta,0.1224,normal,operational
2024-01-01T03:00:00Z,012,49.541573367549574,-1.8643918613158166,beta,0.1408,normal,operational
2024-01-01T03:00:00Z,013,49.548040167414584,-1.8437704747635872,gamma,0.2014,normal,operational
2024-01-01T03:00:00Z,014,49.52766286473023,-1.8621212148759514,gamma,0.1141,normal,operational
2024-01-01T03:00:00Z,015,49.53386878467631,-1.8465598296001553,beta,0.1103,normal,operational
2024-01-01T04:00:00Z,001,49.54744418130489,-1.8423994190897792,beta,0.11,normal,operational
2024-01-01T04:00:00Z,002,49.54811226239893,-1.840870942864567,alpha,0.0805,normal,operational
2024-01-01T04:00:00Z,003,49.528584186043595,-1.8753005055338143,beta,0.0928,normal,operational
2024-01-01T04:00:00Z,004,49.54491342878202,-1.8610001167375594,gamma,0.1354,normal,operational
2024-01-01T04:00:00Z,005,49.53925236556679,-1.8575866901502014,beta,0.1116,normal,operational
2024-01-01T04:00:00Z,006,49.53557287847391,-1.8438387445081026,beta,0.1133,normal,operational
2024-01-01T04:00:00Z,007,49.542097649439235,-1.8744515932910144,alpha,0.0849,normal,operational
2024-01-01T04:00:00Z,008,49.524039997917136,-1.8404443308431655,alpha,0.0852,normal,operational
2024-01-01T04:00:00Z,009,49.53970976871205,-1.8421332706976683,beta,0.1105,normal,operational
2024-01-01T04:00:00Z,010,49.54115194352111,-1.8767024976760147,beta,0.1091,normal,operational
2024-01-01T04:00:00Z,011,49.533732253287454,-1.85943152862601,beta,0.1158,normal,operational
